Cargo,Empresa,Local,Link
Data Engineer - X Delivery,Boston Consulting Group,"São Paulo, SP",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad1FFWZOsBBwBZDGouyCcICeLSd3pQct3wJ1q5dPO7JPoScmA4WXMi3fP3vA1y1_m5EY3-pD8J-hsI5lM3MWBt9ccX1CNpyf-B1HsYEBJYqKEfEb6EljvhVnbt0EbMHMgNzWMownzlvskw6Z9GUL-30PCh9dS28Tug3sMBzeWioEgPyQPGX4E8RyY8UghxpNRtwhFaW-m8iKfAO-Sulh2KlHEaY06hbHdMO3whPW5k9EzUR2eRC3XFYCircR1W-NVSRnrQbv831kiJw9zp8hvMGM9jDgR9fXCKnSXTeJL5ZoC5VE6oTv3Hx1UCgO_knneKsEIGcqUkTgt-XZgUlbHU-0tzXdC8QUUflYoST-c-HXR5cjCXfQoRF2Y7GyGUuRkbA6untEf_6ayHZCAJWy2HPWspmPWnQtR-OgcMXCVRjaDSU7lPZuFZggV1tLu2pvSSPV2k9th-ItxwF9VXNBv-2oHw5PP3VYeBiX7ty-f4BQUfEDoLF5oMXuz01ozmWQ2CzSJ9FaJK0mrKBIQDk6Engs5VXVY6d3_dGFituP3rDWK3b-lrP4OYF20N9tmcU49hsqAPC5i0Wp25BX3oilLAhOq-3yg3HJodO_Pw5S2HpvRlRqq0EZXExvp8JV2KO0UImPQ_wp3NTr0oZrFxmF_JSEA6e7064cC1zLIm8ZA7rb0XnyLyJ7s7WGd-lEnWuJN_EZyKACzdRe2BJ6sIcSAqQ_3PSZJpEjUd1rm_fPS_dEssV6zptMbC0wArVgHjJ1W_n_gRdH5udvBqSlYMQpbFu_ctOIzMAAXLnAAEVOgZXmwAwGw4kzf0YA-6m1AJUitnfTF0Q9D2xqGGj7CiZETh54EDEUT7FhX96xI0YDATZL9t11LElCpxIE395mt2Za0jCC-RS7ffRiEkSnSbsdBpjALouEb6c2hCqbllQl2zaqYhh5oqxcghHLGOwEOf9-Xdw97zTVzIf5fv9WqTWJ7ilFioQbkZuB2z6TKEl-TaeARoBtwjaJYwU8LpI0SAr5xR6HdW5DCE_UmgulCCK4-kBE294UD5ZOVkqd2T-98-UCyopR3YnUwGS9wJQ_LQtZZQjvRU1WQNqw87mjKK2NSl_hqo6mBclhk8ZmoFrmxk9_5AIgTnilABIzJYlvX8gS6ce8Q-eC4ywACrBk4QKblcUdNlG0bQnJpOW7Xtt-xnPlGLUnVJihgFwm7HykaLTptfdD8HgzY9kkWrVhmzSzTxXWUb9JV8E_SAXJ219UiTCDZoO0juxySmgJzco_odGQC5O51_q3zrCOmrNhWnTxDZ&xkcb=SoCR6_M3DIsIrr2JRB0KbzkdCdPP&camk=4HOcmqOLYrBXAbp2aZ3csw==&p=0&fvj=0&vjs=3
Especialista de Desenvolvimento Cloud(back-End),TOTVS,"São Paulo, SP",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dr4YosijHKFiug_mOJf1oCcQ6vODrLYVTyPCyCgPuIQH7FiNVT4ABFBuftuybmXx7vnW00SKYgKPKaszGFTg3wAMwfl72yr3xB4f6Onu97GYkGiwGV2nYUwnULIdKUmlETEYsbchUtTmj4fMgULX0EDSXnsDwcBs8mz4f-0gys3lcLtMiDTwN9pwvMdbFxdHAIr42t3Sd9wIvWUcVEiZGbMal8uJcnhYnihZY5XoAM6bNpU0mgjlCOT8Sra5USV-X_Cxt4afm3mbspAZnRo5zh7tVf_rnL_A6rQ3_kIpu-YZYYXIQlE8gcK094xJFsU9m6mv-UpLzaI5nR5Sh5jEa98U_JnD31FM84Ny0cqKt5HyUhtZPPr_89NDhb2wWI07eH1m4D6TeqGtfGtvrNqBv7aT9jeTl7E6dhghVSNMlCUcDFZBvzHDPlKSjEIgBAjQSn4IEnq8AichUn9N1IK7u8exXPFm2ZsUahISE9G8QSaPGPuQAI_kG7oLaYWA-GcQcNCjIb_b2IZpbmsZxl2OFgGb2np1eb47CUpb8cToW49FExCUg_oq6AIEAXawTcGLyg5cA2lgt9BnTDIS0s1R5XezHT7siRfCnVzPmxsfkNUw2txIcrZluRa6QNpFQ3iTMTs9LOqw3T9bjrqksyMhIIWwfH1W-KWqAMDqoq3clZBlyhYAGe0e44gaNtTY189rzFPQpayDc0lzyih7U-_NWOV_vSZ41G2i90xb2DmRaV_g==&xkcb=SoAM6_M3DIsIrr2JRB0JbzkdCdPP&camk=H-lBaXMUocLbalVgDqACxg==&p=1&fvj=0&vjs=3
Analista de Segurança - Cloud,Digio,"Barueri, SP",https://br.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcjF4Y0eKv0CsWWlZ5x9FrC41SbkkqrPAuVGRE_5Udo6HU-pVpgJFNdcRqGotqWyxW1ECCP6tvtfCip7S6OOPLAXPkw_GyWbUGxcdKRNPYJ9XvuqBmlTy6NLMRtp473Ier0PERqx88xO4W71qyNH8X6H_xuKwo3QTXvtNs-b7y8AzvQ0MBM4uoG2n4dNKxHoqshraXGmO7Ageqkt9LE-eNEV9IEwO2gG9Ld1nQbm5sJs9agKdMIKu0HwSiMSS-7R2CKa9aU5kVmpASqaCuNI8RzcBMZh1jWwhpVQ9w2YsL5SFYNNO0b90QtRZplulmAGN-NdaAwjiwZCa24YMheWr77ps7wNilv2hPf_e7zdub8mF5_t8U9l_c1KRrAfqbIMuZjBVzHqlz8Oq5rauWNT6IfKWP2Fpm4p7NoPezo34PMSMwEqxEusiaWGmVrT0l8qPYyv3iw2zIk6wfIzX-EwEayV9-xV5h3RI7wSO0whtzJJ8CQfpd0pvDlusubF_9H4LbDJ_OhgFz1nmRqOjjyq7uWcFNdIechRi5i0_5tPIf8ArUoF7QkVwrZQBQtrmsXNQE-dAkjdW-pdgF6fFehkUlA1zMqba_KKLAxhw7x9AWz8EDYXRKrkFKDNX7MZTTcymXq77cKaffasYWzreRgzq9&xkcb=SoC46_M3DIsIrr2JRB0IbzkdCdPP&camk=f416UQcMBpC7Zqg-r69rug==&p=2&fvj=0&vjs=3
[Squad] Desenvolvedor(a) PL | Python,Objective (Brazil),,https://br.indeed.com/rc/clk?jk=d4bf50264baa8ef0&bb=Do3HZCkkzsHiSVScdVp4ir5FIwNbTj794y2_kCzN_teYLEDPZIUYRt58TfUO3OtKaDyF1rB43tV6TVb95VKB14uu6yaLM_Mb_Zqf61NZCn4%3D&xkcb=SoDC67M3DIsIrr2JRB0PbzkdCdPP&fccid=cf30ca4c0e3b06c5&vjs=3
Desenvolvedor(a) Backend Python,Omie,,https://br.indeed.com/rc/clk?jk=07c5ec912d8cc3b7&bb=Do3HZCkkzsHiSVScdVp4ihNQRiCOAceimxOtiIxasb4q_fVRFU6lbj9sIF8AnUxDDQNudm2j2mcm6g1runh8TnlZ8PwYPKxcvcXT4TxnJQA%3D&xkcb=SoB267M3DIsIrr2JRB0ObzkdCdPP&fccid=8c41bce32884422c&vjs=3
Desenvolvimento Visão Computacional Júnior,Pix Force,"Home office in Porto Alegre, RS",https://br.indeed.com/rc/clk?jk=450223b2c88986bf&bb=Do3HZCkkzsHiSVScdVp4igmzQVfsSq7GFT6Rdoe4f1mOlP-QizIIJgvYT34OWhPZX7A8qpH2fk-9i4CnmaYb2NbuUntF8rFwQdRXPI0zzMQ%3D&xkcb=SoDr67M3DIsIrr2JRB0NbzkdCdPP&fccid=71fa0d892087e788&vjs=3
Pessoa Desenvolvedora Python Júnior,BT Créditos,"São Paulo, SP",https://br.indeed.com/rc/clk?jk=2162bf9e91c3f9e8&bb=Do3HZCkkzsHiSVScdVp4ipZgBnoK5MbtG9Lvx67xvR_R2bpGpRF8lW7-tpGi6FXag058TLMRLFOveWYilzZlW5oQksomyf-O3ICkRYms8-U%3D&xkcb=SoBf67M3DIsIrr2JRB0MbzkdCdPP&fccid=30acf9622d9c2ff7&vjs=3
Ringa-4945625/24-1 - desenvolvedor back end python junior,Netvagas,"Home office in São Carlos, RS",https://br.indeed.com/rc/clk?jk=ed8632795e60e6ed&bb=Do3HZCkkzsHiSVScdVp4ijEhIxgwLbRwsf5xV22xZsnBoCIUZrzIUvyihek_kk6mfhf7PnN8C7mtpWG_3R5jV4bF7mkXBpCXF0B0kmSI2ZY%3D&xkcb=SoC267M3DIsIrr2JRB0DbzkdCdPP&fccid=248e71f02a698bfc&vjs=3
Desenvolvedor(a) Front-end Júnior,Scipopulis,"Home office in São Paulo, SP",https://br.indeed.com/rc/clk?jk=1cc0ad8846ea4b08&bb=Do3HZCkkzsHiSVScdVp4iiE2NGDigqnRy-X8AzEJlHjnmwL-Kl6GAmKIhAuFHl_dprMbA61tQ27elIxioPdMYlj6YQRLFxT3lkeKMe2VDh8%3D&xkcb=SoAC67M3DIsIrr2JRB0CbzkdCdPP&fccid=e0a3d50cb506792f&vjs=3
Desenvolvedor (a) Python Junior/Pleno - Niara,"Grupo Hive | Omnibees, Bee2Pay e Niara - Brasil","São Paulo, SP",https://br.indeed.com/rc/clk?jk=783834f21f7718a3&bb=Do3HZCkkzsHiSVScdVp4igRIpJB4nkIpuUJoKL_n0ETYxtmkByCi1ilZPHR-aCkFnJXZevaSqolgO3OLfk7Vv957grbnohwFqiygr3u75uw%3D&xkcb=SoCf67M3DIsIrr2JRB0BbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
